omega,alpha,beta
0.3157446796052384,0.21879337922620387,0.48647018378297446
0.3192270811855874,0.2281213440477674,0.46464176814184704
0.3154331735423266,0.23186250591367671,0.460734370938913
0.323824227749273,0.2234863752964434,0.4551657132796978
0.33008443008298405,0.23845465125208665,0.4368497872716376
0.3458128884416263,0.2502242139617676,0.42446114434605664
0.3410106455259309,0.2325961890370441,0.434816043346594
0.35070180826273945,0.24254189050671815,0.42534502349229586
0.34755739951627446,0.2409768162947519,0.4330098314209755
0.34099287943840495,0.22716060351785847,0.4254005591821739
0.3476843755748587,0.24347638029492463,0.4257721870089765
0.34923438242173666,0.23543694824787195,0.4340664313360121
0.35333761216820503,0.23425486656778283,0.43103444668882657
0.3544743466094903,0.21305689232546332,0.42983526442202563
0.3414533129175051,0.21845015577268978,0.43938609882059304
0.3363917562884017,0.23438476991585847,0.4533075885444936
0.3368798810446642,0.2297681644043033,0.4638469914576195
0.3013564916395901,0.2536077124721563,0.45090548244206907
0.33101784840110365,0.23538339023966373,0.44092576707092573
0.33942416411152265,0.21736006567998878,0.43045204671840376
0.3394148170323904,0.21845206975950499,0.4303437861288824
0.3326056576206927,0.22588736019449965,0.4323485905026489
0.3666279721810046,0.23664683816973311,0.4224076278049903
0.3652983311822823,0.24319876939035687,0.4268750758478951
0.3483479563898079,0.24127175167754447,0.41584779039135783
0.36022963193695484,0.24528206536785432,0.42053816495576596
0.3535687769763206,0.24799818690336745,0.4070986817348848
0.36306295170737823,0.23893439400279723,0.4073876548243674
0.38650404315416725,0.21749605340894898,0.4025199245335496
0.37468304062092783,0.23106107094345388,0.4184919709120327
0.37430858985948784,0.2173301031004395,0.4204036263493009
0.37704935291187064,0.22952835266520016,0.4175681750737939
0.3691627815227674,0.2299526444114277,0.42169404184610687
0.3675509985423616,0.22945808965331282,0.4153029302912655
0.3549343594541637,0.2272449673432923,0.41352640190604506
0.3560754611900627,0.24897332590258453,0.42396684763478903
0.35537241979728135,0.2388505137569286,0.4130657957615982
0.35921898389375684,0.24778054738719624,0.42744174213458136
0.3378511397623097,0.24876483712009156,0.4275183002091831
0.332521675540201,0.25953960154035544,0.43004663617100325
0.3481154467255431,0.26605666569923464,0.41946843917327536
0.33995194747879176,0.2619052591776227,0.4126231368517547
0.33384834887151554,0.2650107989863671,0.41409914462068464
0.33758516495176166,0.25559764355622977,0.4177181270981448
0.36101174341976283,0.2554499722821936,0.4113322282935121
0.34453920674444455,0.24917730868123314,0.4200284253790665
0.3602407918416267,0.2526483851737657,0.4001138700748139
0.34703246109500574,0.22976299938239658,0.42833003841537415
0.3518678273641215,0.22848355890523472,0.4193154251038912
0.3478318661188384,0.23595266283869307,0.42003395674587257
0.3575492982950887,0.2665560335898711,0.40459225446012204
0.335882124163786,0.2849338979348161,0.395615887860056
0.3415836611609132,0.285175053421675,0.39024610736659476
0.35494750565916483,0.30003420758931537,0.3744856764329429
0.3879840719829717,0.2745105438666161,0.38873221791306023
0.3852299539337657,0.28336257057283415,0.3729942550133869
0.3967452519969513,0.2884768474888077,0.36255320467914076
0.3997206640906658,0.26542637655273915,0.34939988805913597
0.39885923661293426,0.28308940308981945,0.34581512831148237
0.3831446009261557,0.28619555238409794,0.36833316243231806
0.3749624113965846,0.28120631590609435,0.3705755653320559
0.3592729111779259,0.2757742034995559,0.40424446692031846
0.3663164074399647,0.28389487588613554,0.3957500929885
0.36429402785574033,0.2601326327769218,0.36981833958379745
0.3846479645688154,0.2711751887672708,0.35938408327335813
0.364018401259098,0.2751558288303777,0.3757730361539259
0.39011067850515996,0.27553163518148355,0.3730044817768585
0.4175506212386889,0.25390901137945016,0.35981239334645265
0.4129001406999034,0.2292543945479961,0.36420130125679817
0.39511197858048863,0.24664310424877875,0.3588219699418975
0.37987722459254714,0.26481112855083333,0.3553259484453299
0.36311529071308346,0.29742325521165314,0.3811961506041046
0.37900661110973527,0.29449868180217537,0.38677639994136037
0.3884591180708963,0.2802590446591224,0.40402170134263893
0.38909765931015033,0.2780816489217481,0.3700661791990359
0.3887042594251588,0.30215251546400307,0.35114049781881007
0.3790965373863304,0.27799959923456385,0.35604070715324054
0.37686129026508847,0.27489408136718085,0.3799657931256294
0.3896477355888941,0.2639591940991818,0.37659211136253196
0.3763516390164759,0.2529746883609571,0.3787876290601821
0.367007223408689,0.2537373631440355,0.38722641007155534
0.3783627996046349,0.26396992741046005,0.3908811965417171
0.3805490073659131,0.2520982733423466,0.3843917376127893
0.3879527658755103,0.24461003105776938,0.3887777716917467
0.3760384953045017,0.2516492689847714,0.39398050595722334
0.3775551987978986,0.23212779862077204,0.40250395346349926
0.3748420771102922,0.24173470634512523,0.3970627735334954
0.3781940196892033,0.23269817026702466,0.41142679712026076
0.37106628096269023,0.21219246468090514,0.4179983407892448
0.367254609084959,0.21828975473063333,0.4131931614159668
0.36098301864846455,0.2162658447113087,0.44573394510925685
0.361130828251129,0.22084236090177098,0.4531842635363614
0.33031416506958095,0.23432600733099623,0.45657381056344054
0.3213870577560191,0.21514719084495715,0.4555325823929056
0.33584006559840973,0.2141615116226698,0.45670416117456064
0.3520133367750331,0.21359671848971765,0.43567569218701363
0.36124932365201606,0.2174388570118125,0.441200779218625
0.3550340253431249,0.21610006752409186,0.4345663882514401
0.3623300883983609,0.21189621259064445,0.42785425881898675
0.35942838646528796,0.2114533715382816,0.44864978889203433
0.36784956470152813,0.21165221704608836,0.4126758015121387
0.37524430285542476,0.20719776955144914,0.43099574793671386
0.3720642935027695,0.19929918105657976,0.4406782107753939
0.3820861195377914,0.20496284525163472,0.42913841478887793
0.35628212913466384,0.2062619405703439,0.406562885567148
0.3662983019668365,0.20643524668210106,0.4106843505774661
